프로세스의 상태
$ ps ax | wc -l     => 프로세스 개수
$ ps ax 프로세스 상태 보기


*STAT: 프로세스 실행 상태
R: 실행 상태 혹은 실행 대기 상태
S / D: 슬립 상태
Z: 좀비 상

    PID TTY      STAT   TIME COMMAND
    446 ?        Ss     0:00 /lib/systemd/systemd-logind
    467 ?        S      0:00 /usr/sbin/chronyd -F 1
    482 ?        S      0:00 /usr/sbin/chronyd -F 1
    483 ttyS0    Ss+    0:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyS0 vt220
    512 tty1     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
    532 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    574 ?        Ssl    0:00 /usr/libexec/polkitd --no-debug
    621 ?        I<     0:00 [tls-strp]
    625 ?        Ss     0:00 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
    782 ?        I      0:00 [kworker/5:3-cgroup_destroy]
    790 ?        I      0:00 [kworker/3:5-events]
    791 ?        I      0:00 [kworker/3:6-events]
    814 ?        Sl     0:00 /snap/amazon-ssm-agent/6312/ssm-agent-worker
    837 ?        Ss     0:00 sshd: ubuntu [priv]
    840 ?        Ss     0:00 /lib/systemd/systemd --user
    841 ?        S      0:00 (sd-pam)
    922 ?        S      0:00 sshd: ubuntu@pts/0
    924 pts/0    Ss     0:00 -bash
    949 ?        I      0:00 [kworker/u16:5-events_unbound]
   1140 ?        I      0:00 [kworker/2:2-events]
   1141 ?        I      0:00 [kworker/4:1]
   1142 ?        I      0:00 [kworker/u16:1-events_unbound]
   1172 ?        I      0:00 [kworker/u16:0-events_power_efficient]
   1174 pts/0    R+     0:00 ps ax
